No,Nama Event,Deskripsi,Bentuk Kegiatan, Waktu , Tempat ,ID Bahasa
1,Lauje,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,1
2,Biak,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,2
3,Tialo,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,3
4,Totoli,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,4
5,Uhunduni,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,5
6,Dondo,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,6
7,Alune,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,7
8,Tajio,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,8
9,Tobada',Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,9
10,Saparua,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,10
11,Taba,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,11
12,Helong,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,12
13,Lisela,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,13
14,Ampibabo Lauje,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,14
15,Damal,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,15
16,Padoe,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,16
17,Wotu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,17
18,Napu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,18
19,Rahambuu,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,19
20,Wano,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,20
21,Pendau,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,21
22,Baleasang,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,22
23,Besoa,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,23
24,Palu'e,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,24
25,Boano,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,25
26,Gebe,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,26
27,Momuna,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,27
28,Isirawa,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,28
29,Lemolang,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,29
30,Nila (Seram Island),Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,30
31,Andio,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,31
32,Saluan,Seminar dan Sosialisasi,Seminar," Senin, 9 September 2014 ", Ibu kota setempat ,32
